5m_range,1h_range,6h_range,5m_mean
"(2462.0, 2638.0)","(480.25, 4722.75)","(-319.5, 8237.5)",3577.4626865671644
"(21017.0, 31209.0)","(24750.5, 33851.5)","(25300.25, 35734.75)",28919.993288590606
"(29770.125, 34460.875)","(31203.25, 41132.75)","(35212.125, 48472.875)",31895.26219512195
"(21198.25, 34151.75)","(27521.0, 39479.0)","(27652.25, 33345.75)",30962.074074074073
"(23642.5, 28695.5)","(23115.0, 28541.0)","(28258.25, 51926.75)",27185.386554621848
"(25857.0, 29143.0)","(22199.25, 29697.75)","(21980.0, 34259.0)",35929.13274336283
"(26301.0, 31800.0)","(25596.0, 31454.0)","(30100.25, 60601.75)",31277.22033898305
"(6142.25, 6211.75)","(6353.5, 6511.5)","(6497.25, 6948.75)",6180.762711864407
"(4544.5, 4777.5)","(4787.5, 4858.5)","(4827.625, 5172.375)",4586.635838150289
"(2961.625, 3196.375)","(3238.75, 3481.25)","(3284.25, 3651.75)",3123.06338028169
"(1593.0, 1717.0)","(1650.0, 1692.0)","(1682.875, 1794.125)",1639.183574879227
"(1163.0, 1175.0)","(1130.5, 1167.5)","(1105.75, 1179.25)",1168.9620253164558
"(10243.375, 10268.625)","(10258.25, 10495.75)","(10328.0, 11326.0)",10254.720588235294
"(54.0, 60.0)","(57.5, 64.5)","(48.0, 70.0)",55.283422459893046
"(84.5, 105.5)","(100.5, 149.5)","(119.5, 174.5)",90.5265306122449
"(351.625, 467.375)","(358.25, 561.75)","(334.375, 807.625)",412.1240310077519
"(11621.875, 11817.125)","(11606.75, 11807.25)","(10721.625, 11602.375)",11776.340136054421
"(8705.0, 9145.0)","(8821.0, 9087.0)","(8288.25, 8997.75)",8741.904761904761
"(2997.0, 2999.0)","(2963.5, 3030.5)","(2784.875, 3014.125)",2969.94674556213
"(1682.0, 1934.0)","(1556.125, 1835.875)","(1596.0, 1809.0)",1718.373873873874
"(372.0, 426.0)","(397.0, 455.0)","(375.5, 452.5)",362.8223350253807
"(18479.0, 19069.0)","(18678.75, 18925.25)","(18714.75, 18935.25)",19252.096
"(1772.5, 1779.5)","(1681.375, 1762.625)","(1725.375, 1975.625)",1773.5800711743773
"(1277.75, 1422.25)","(1275.5, 1408.5)","(1290.0, 1501.0)",2113.748201438849
"(1209.5, 1246.5)","(1392.0, 1934.0)","(1050.5, 1400.5)",1250.3628318584072
"(551.0, 1129.0)","(655.0, 917.0)","(887.5, 1632.5)",991.5444444444445
"(1328.0, 1472.0)","(1212.0, 1822.0)","(1191.5, 2050.5)",1407.7513227513227
"(34467.5, 41086.5)","(40540.5, 48132.5)","(50344.0, 135522.0)",40968.94285714286
"(140337.25, 149662.75)","(142439.75, 150922.25)","(127403.0, 192000.0)",148269.75225225225
"(74.0, 76.0)","(3.0, 209.0)","(36.5, 180.5)",142.11439114391143
"(91780581.5, 92419418.5)","(90662627.0, 92554713.0)","(88303316.25, 96503292.75)",92182080.23655914
"(57982.0, 63204.0)","(63374.125, 72238.875)","(65525.0, 76440.0)",62283.00444444444
"(312.0, 319.0)","(308.5, 313.5)","(301.0, 319.0)",320.75757575757575
"(729246.75, 734753.25)","(736863.0, 749892.0)","(734782.625, 753776.375)",730889.4744186046
"(759481.75, 765100.25)","(759496.5, 763803.5)","(763080.0, 774039.0)",761172.4166666666
"(16935.5, 17010.5)","(16127.25, 16835.75)","(16470.375, 17497.625)",16884.945392491467
"(4715075.125, 4734924.875)","(4435336.5, 4767957.5)","(3606618.5, 4263641.5)",4723013.296551724
"(4295500.0, 4346500.0)","(4239123.0, 4434321.0)","(4311754.125, 4582830.875)",4279580.535269709
"(11979.5, 12226.5)","(11977.0, 12133.0)","(11988.0, 12207.0)",12238.41237113402
"(8696337.0, 8792287.0)","(8931624.625, 9610955.375)","(8352491.75, 10128522.25)",8757140.799126638
"(3961.0, 4035.0)","(3131.0, 3247.0)","(2597.25, 3158.75)",3909.3625
"(1833.5, 2110.5)","(1975.0, 2203.0)","(1564.5, 2309.5)",2469.189189189189
"(10980.75, 11175.25)","(10770.625, 11204.375)","(10100.5, 10967.5)",11044.659793814433
"(6928.0, 8500.0)","(8114.5, 10453.5)","(7688.375, 8880.625)",8299.649484536083
"(2557.5, 2908.5)","(1837.5, 4162.5)","(2195.5, 3314.5)",2747.4819277108436
"(3216107.0, 3265167.0)","(3210848.375, 3342875.625)","(2551018.625, 3078242.375)",3243730.451263538
"(3061367.5, 3098632.5)","(3060227.375, 3153228.625)","(2571097.875, 3019487.125)",3081174.3903345726
"(80.0, 80.0)","(76.0, 84.0)","(36.125, 129.875)",82.272
"(3003883.0, 3081211.0)","(3023424.5, 3106585.5)","(2500647.5, 2985884.5)",3056703.6412213743
"(151.5, 152.5)","(151.875, 154.125)","(125.5, 148.5)",151.66333333333333
"(24298.25, 25445.75)","(25586.5, 27651.5)","(21570.375, 24166.625)",25119.858778625956
"(91.0, 269.0)","(47.0, 226.0)","(108.625, 172.375)",180.31004366812226
"(347.75, 356.25)","(324.5, 347.5)","(306.0, 376.0)",343.0192307692308
"(14200.0, 14200.0)","(15577.125, 24422.875)","(5921.0, 10657.0)",15208.814960629921
"(4965.5, 8920.5)","(5526.125, 8320.875)","(6251.125, 7357.875)",7601.318725099602
"(1535.5, 1590.5)","(1554.0, 1604.0)","(1552.5, 1675.5)",3679.3513513513512
"(19734.25, 20265.75)","(18002.25, 19367.75)","(18379.875, 18958.125)",19582.314814814814
"(129863.5, 133132.5)","(129737.75, 131356.25)","(130399.0, 132089.0)",132176.56603773584
"(18645.5, 18656.5)","(18624.375, 18674.625)","(18596.75, 18667.25)",18667.38683127572
"(59136.5, 59257.5)","(59193.5, 59354.5)","(59156.625, 59315.375)",59445.904306220094
"(1251.5, 1266.5)","(1218.5, 1274.5)","(1206.375, 1287.625)",1245.3867403314916
"(119718.0, 140162.0)","(127875.25, 137692.75)","(150647.5, 194080.5)",137671.16370106762
"(3497.0, 3681.0)","(3518.875, 3637.125)","(3528.5, 3631.5)",3716.2978723404253
"(37848.5, 37971.5)","(37834.25, 37966.75)","(37847.375, 37936.625)",37825.4847161572
"(5686340.125, 5837678.875)","(5696764.5, 5989257.5)","(5116688.125, 5600918.875)",5747799.93
"(145.0, 145.0)","(129.625, 160.375)","(72.25, 129.75)",144.675
"(2739318.25, 2795469.75)","(2638868.875, 2682824.125)","(2668188.5, 2747341.5)",2768344.501901141
"(43538015.25, 43848016.75)","(42281967.125, 44010305.875)","(40435009.0, 41732301.0)",43631156.96208531
"(26827911.25, 27021137.75)","(27050480.25, 27698400.75)","(25926054.875, 27582026.125)",26985329.3
"(69.0, 125.0)","(87.5, 114.5)","(82.875, 119.125)",117.21428571428571
"(20857719.0, 21020073.0)","(20861054.75, 20978599.25)","(20438714.5, 21370262.5)",20953125.56561086
